                     epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.819,                 4.1514,                 3.3252,                0.03784,                0.07338,                0.03549,                0.01352,                 2.8233,                 2.7598,                  2.245,              0.0033313,              0.0033313,              0.0033313
                      2,                 2.5733,                 2.6633,                 1.9879,                 0.1923,                0.13164,                0.07808,                 0.0364,                 2.2837,                 2.3748,                 1.6944,              0.0066426,              0.0066426,              0.0066426
                      3,                 2.2326,                 2.3079,                 1.6681,                0.25286,                0.15717,                0.11489,                0.05708,                  1.999,                 1.9186,                 1.5322,               0.009932,               0.009932,               0.009932
                      4,                  2.065,                 2.1147,                 1.5405,                0.18777,                0.17809,                0.14288,                0.07424,                 1.8659,                  1.777,                 1.4368,               0.009901,               0.009901,               0.009901
                      5,                 1.9445,                 1.9404,                 1.4597,                0.23636,                0.21203,                0.17213,                0.09199,                  1.771,                  1.641,                 1.3748,               0.009901,               0.009901,               0.009901
                      6,                 1.8581,                 1.8048,                 1.4077,                0.23707,                0.22693,                0.18339,                0.10136,                 1.7059,                 1.5789,                 1.3332,               0.009868,               0.009868,               0.009868
                      7,                 1.8004,                 1.7123,                 1.3691,                0.29191,                0.24153,                0.21157,                0.11708,                 1.6705,                  1.482,                 1.3194,               0.009835,               0.009835,               0.009835
                      8,                 1.7477,                 1.6337,                 1.3433,                0.32119,                0.24589,                0.22543,                0.12621,                 1.6196,                 1.4149,                 1.2872,               0.009802,               0.009802,               0.009802
                      9,                 1.7213,                 1.5846,                 1.3261,                0.32808,                0.27155,                0.24313,                0.13673,                 1.6003,                 1.3925,                  1.272,               0.009769,               0.009769,               0.009769
                     10,                 1.6968,                 1.5401,                 1.3107,                0.31822,                0.25565,                0.23275,                0.12962,                 1.6053,                 1.3962,                 1.2745,               0.009736,               0.009736,               0.009736
                     11,                 1.6684,                 1.4943,                 1.2965,                0.34689,                0.29603,                0.26675,                0.15052,                 1.5526,                 1.3357,                 1.2477,               0.009703,               0.009703,               0.009703
                     12,                 1.6526,                 1.4606,                 1.2873,                0.36812,                0.28984,                0.27527,                0.15395,                 1.5468,                 1.3003,                 1.2489,                0.00967,                0.00967,                0.00967
                     13,                  1.638,                 1.4462,                 1.2748,                0.36274,                0.29895,                0.27773,                0.15822,                 1.5409,                 1.3008,                 1.2364,               0.009637,               0.009637,               0.009637
